Tao Te Ching,Book of Dead,Torah,Buddhist Sutras,Quran,Bhagavad Gita,New Testiment,Mein Kampf,Yoga Sutras,Hate Speech
"('one', 202)","('god', 530)","('shall', 2828)","('one', 845)","('god', 2954)","('arjuna', 278)","('zoe', 1737)","('one', 1992)","('spiritu', 359)","('go', 10)"
"('tao', 138)","('osiri', 514)","('unto', 2356)","('bhikkhu', 399)","('lord', 1004)","('action', 239)","('one', 1718)","('german', 1484)","('man', 273)","('white', 10)"
"('natur', 113)","('thou', 510)","('lord', 1890)","('bless', 394)","('believ', 739)","('yoga', 207)","('god', 1701)","('nation', 1467)","('power', 222)","('black', 9)"
"('chapter', 81)","('shall', 445)","('01', 1534)","('monk', 376)","('say', 715)","('one', 204)","('say', 1366)","('peopl', 1178)","('life', 183)","('jew', 5)"
"('peopl', 80)","('thi', 345)","('thou', 1524)","('mind', 350)","('said', 655)","('cha', 190)","('jesu', 1354)","('state', 1119)","('mind', 163)","('kill', 5)"
"('great', 66)","('word', 318)","('04', 1289)","('thu', 328)","('peopl', 542)","('lord', 186)","('life', 1317)","('would', 1016)","('conscious', 159)","('trump', 5)"
"('shall', 61)","('thee', 300)","('thi', 1253)","('would', 316)","('come', 531)","('self', 179)","('16', 961)","('time', 893)","('come', 147)","('want', 5)"
"('true', 59)","('truth', 266)","('02', 1214)","('vener', 257)","('day', 503)","('na', 168)","('also', 925)","('even', 791)","('psychic', 142)","('peopl', 4)"
"('world', 48)","('forth', 264)","('05', 960)","('gotama', 248)","('one', 478)","('mind', 151)","('come', 916)","('also', 687)","('one', 141)","('women', 4)"
"('know', 45)","('whose', 248)","('thee', 959)","('said', 228)","('know', 465)","('thou', 131)","('said', 869)","('great', 674)","('self', 129)","('year', 4)"
